DE	ENA|UPDG01000001|UPDG01000001.1,0,283618,UniRef50_A0A413K8X0,186832,190570
DE	ENA|OGER01000007|OGER01000007.1,10641,236685,UniRef50_A0A413K8X0,181819,185557
DE	ENA|UPEI01000010|UPEI01000010.1,0,225259,UniRef50_A0A413K8X0,34687,38425
DE	ENA|OVYM01000001|OVYM01000001.1,15702,205601,UniRef50_A0A413K8X0,169586,173324
DE	ENA|UZUN01000036|UZUN01000036.1,36681,154711,UniRef50_A0A3D4SCU6,83332,87112
DE	ERZ851012.3,0,120842,UniRef50_A0A3D4SCU6,78771,82551
DE	ENA|UZUX01000003|UZUX01000003.1,0,129772,UniRef50_A0A413K8X0,93751,97489
DE	NZ_FUWW01000002.1,0,89537,UniRef50_A0A1T4JZ89,36728,40526
ID	ENA|OWFJ01000035|OWFJ01000035.1,39695,131371,UniRef50_A0A1D9P5I8,98592,102369
DE	ENA|OGWS01000009|OGWS01000009.1,0,192219,UniRef50_A0A413K8X0,186719,190457
DE	ENA|UPSW01000061|UPSW01000061.1,0,102723,UniRef50_A0A3D4SCU6,53380,57160
DE	ENA|OJLA01000014|OJLA01000014.1,0,123669,UniRef50_A0A3D4SCU6,9955,13735
DE	ERZ917277.23929,28912,134387,UniRef50_A0A413K8X0,61194,64932
DE	ERZ919196.9477,21807,199217,UniRef50_A0A1T4JZ89,187535,191219
DE	ERZ842940.5,0,109029,UniRef50_A0A1T4JZ89,53837,57521
DE	ERZ1024260.239,0,75631,UniRef50_A0A1M7G246,68650,72388
DE	ERZ909744.929,0,88234,UniRef50_A0A413K8X0,9455,13193
DE	ERZ920173.393,0,75741,UniRef50_A0A1M7G246,3558,7296
DE	ERZ1034693.173,0,32727,UniRef50_A0A2V2CC41,24989,28757
DE	ERZ920328.6560,0,124283,UniRef50_A0A3D4SCU6,75540,79320
ID	ERZ917542.53398,63477,168779,UniRef50_A0A1D9P5I8,155223,159000
NE	ERZ918478.54278,0,26403,UniRef50_A0A1G5RS09,13855,17446
DE	ERZ920171.59700,0,107400,UniRef50_A0A3D4SCU6,58657,62437
DE	Ga0245003_100051,0,130083,UniRef50_A0A3D4SCU6,81340,85120
NE	Ga0169693_100541,0,30145,UniRef50_A0A1G5RS09,15706,19297
DE	ERZ919809.60290,47644,151272,UniRef50_A0A3D4SCU6,92205,95985
TE	NC_014389.1,233239,355076,UniRef50_A0A1D9P5I8,336668,340418
DE	Ga0334990_0000510,0,23696,UniRef50_A0A2N2WBK1,13372,17170
