NZ_JH994111.1,967150,1126829,UniRef50_A0A2M7R4L9,970256,970559	NZ_JH994111.1,967150,1126829,UniRef50_A0A2M7R4L9,970256,970559
ERZ1024259.44,20224,85338,UniRef50_A0A373B4T6,80771,81683	ERZ1024259.44,20224,85338,UniRef50_A0A373B4T6,80771,81683
ENA|JYIJ01000019|JYIJ01000019.1,172462,230711,UniRef50_A0A5N8VWM3,177342,177954	ENA|JYIJ01000019|JYIJ01000019.1,172462,230711,UniRef50_A0A5N8VWM3,177342,177954
NZ_UGUV01000003.1,236630,381423,UniRef50_S6L505,330649,331693	NZ_UGUV01000003.1,236630,381423,UniRef50_S6L505,330649,331693
NZ_UGUV01000003.1,236630,381423,UniRef50_S6L505,330649,331693	ENA|UGUV01000003|UGUV01000003.1,236630,410619,UniRef50_S6L505,330649,331693
NZ_SWNM01000031.1,0,37556,UniRef50_D2QHQ9,769,1702	NZ_SWNM01000031.1,0,37556,UniRef50_D2QHQ9,769,1702
NZ_SWNM01000031.1,0,37556,UniRef50_D2QHQ9,769,1702	ENA|SWNM01000031|SWNM01000031.1,0,37556,UniRef50_D2QHQ9,769,1702
NZ_AP019314.1,540800,665034,UniRef50_A0A0N8TSW5,662427,662706	NZ_AP019314.1,540800,665034,UniRef50_A0A0N8TSW5,662427,662706
ENA|OWND01000478|OWND01000478.1,0,28321,UniRef50_G8B1V1,16457,17354	ENA|OWND01000478|OWND01000478.1,0,28321,UniRef50_G8B1V1,16457,17354
NZ_CABKMR010000002.1,0,177389,UniRef50_A0A449I9K3,47921,49016	NZ_CABKMR010000002.1,0,177389,UniRef50_A0A449I9K3,47921,49016
NZ_CABKMR010000002.1,0,177389,UniRef50_A0A449I9K3,47921,49016	NC_010371.1,0,180589,UniRef50_A0A449I9K3,47921,49016
NZ_CP020557.1,4605213,4656301,UniRef50_A5V1B7,4638632,4639493	NZ_CP020557.1,4605213,4656301,UniRef50_A5V1B7,4638632,4639493
Gsub_Geoalkalibacter_subterraneus_plasmid.2,121155,242122,UniRef50_D3SGE7,158035,159160	Gsub_Geoalkalibacter_subterraneus_plasmid.2,121155,242122,UniRef50_D3SGE7,158035,159160
