ERZ935422.6,0,48412,UniRef50_A0A3D4E0Y5,28040,31199	ERZ935422.6,0,48412,UniRef50_A0A3D4E0Y5,28040,31199
ERZ1027084.21,3962,92738,UniRef50_S1RM25,90588,92709	ERZ1027084.21,3962,92738,UniRef50_S1RM25,90588,92709
ERZ1027084.21,3962,92738,UniRef50_S1RM25,90588,92709	ENA|OYWT01000027|OYWT01000027.1,0,75152,UniRef50_S1RM25,28,2149
ERZ834826.1,293615,499822,UniRef50_R6QHH1,452822,456800	ERZ834826.1,293615,499822,UniRef50_R6QHH1,452822,456800
ERZ834826.1,293615,499822,UniRef50_R6QHH1,452822,456800	ENA|OPBP01000027|OPBP01000027.1,0,109519,UniRef50_R6QHH1,68822,72821
ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739	ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739
ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739	ERZ919566.13294,24991,54790,UniRef50_A0A140GR79,45153,46293
ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739	ERZ917799.19174,0,13983,UniRef50_A0A140GR79,8935,10075
ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739	ERZ917635.40375,0,23436,UniRef50_A0A140GR79,18224,19364
ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739	ERZ919566.13294,0,54790,UniRef50_A0A140GR79,45153,46293
ERZ919673.16579,0,23835,UniRef50_A0A140GR79,14599,15739	ERZ917729.28615,0,23795,UniRef50_A0A140GR79,18305,19445
ERZ898513.746,0,99763,UniRef50_A0A5B9DB16,55294,57493	ERZ898513.746,0,99763,UniRef50_A0A5B9DB16,55294,57493
ERZ920136.21296,0,37846,UniRef50_A0A316RPF6,3978,8145	ERZ920136.21296,0,37846,UniRef50_A0A316RPF6,3978,8145
Ga0100571_111,0,103150,UniRef50_A0A1L8RGR8,26394,28419	Ga0100571_111,0,103150,UniRef50_A0A1L8RGR8,26394,28419
ACIL03000013.1	ACIL03000013.1
ACIL03000013.1	ERZ989720.105896,0,13451,UniRef50_A0A2Z2P9D3,3471,5730
AAUD01000026.1	AAUD01000026.1
AAUD01000026.1	AAYD01000017.1
ERZ1034719.41,197,99026,UniRef50_A0A3D5WV06,65017,68512	ERZ1034719.41,197,99026,UniRef50_A0A3D5WV06,65017,68512
ERZ1034719.41,197,99026,UniRef50_A0A3D5WV06,65017,68512	ERZ1034616.72,0,77522,UniRef50_A0A3D5WV06,12536,16031
Ga0074199_1000023,323516,404797,UniRef50_A0A4Q5YAC9,399264,402075	Ga0074199_1000023,323516,404797,UniRef50_A0A4Q5YAC9,399264,402075
ERZ918960.21529,0,63394,UniRef50_A0A373K5X6,58964,61340	ERZ918960.21529,0,63394,UniRef50_A0A373K5X6,58964,61340
ERZ918960.21529,0,63394,UniRef50_A0A373K5X6,58964,61340	ENA|OOAJ01000129|OOAJ01000129.1,0,64076,UniRef50_A0A373K5X6,59235,61611
ERZ917992.36260,22790,120436,UniRef50_A0A2G3NUX7,102484,104512	ERZ917992.36260,22790,120436,UniRef50_A0A2G3NUX7,102484,104512
Ga0105906_1000004,70941,139156,UniRef50_Q9CLT2,109419,112515	Ga0105906_1000004,70941,139156,UniRef50_Q9CLT2,109419,112515
Ga0105906_1000004,70941,139156,UniRef50_Q9CLT2,109419,112515	ENA|ODWA01000001|ODWA01000001.1,15460,83675,UniRef50_Q9CLT2,42100,45196
NZ_CP033058.2,0,79994,UniRef50_A0A3Q9V9Z8,55859,58430	NZ_CP033058.2,0,79994,UniRef50_A0A3Q9V9Z8,55859,58430
ERZ909733.16664,0,59989,UniRef50_A0A415IJP7,22790,27005	ERZ909733.16664,0,59989,UniRef50_A0A415IJP7,22790,27005
ERZ909733.16664,0,59989,UniRef50_A0A415IJP7,22790,27005	ERZ917711.6175,0,61690,UniRef50_A0A415IJP7,44458,48673
ERZ919088.35944,0,49737,UniRef50_A0A5B9DB16,13266,15537	ERZ919088.35944,0,49737,UniRef50_A0A5B9DB16,13266,15537
ERZ808245.17,10505,146551,UniRef50_F0RSV0,11282,14840	ERZ808245.17,10505,146551,UniRef50_F0RSV0,11282,14840
NZ_CH724141.1,151063,269397,UniRef50_A0A401UFK2,265261,267724	NZ_CH724141.1,151063,269397,UniRef50_A0A401UFK2,265261,267724
ERZ922480.800,0,26359,UniRef50_A0A1H0YAG6,6002,9665	ERZ922480.800,0,26359,UniRef50_A0A1H0YAG6,6002,9665
Ga0168822_100135,0,100969,UniRef50_A0A3D4E0Y5,56894,60128	Ga0168822_100135,0,100969,UniRef50_A0A3D4E0Y5,56894,60128
NZ_CP015730.1,183053,234165,UniRef50_Q2RX87,186480,189138	NZ_CP015730.1,183053,234165,UniRef50_Q2RX87,186480,189138
NZ_QBUK01000007.1,37444,88541,UniRef50_A0A140GR79,65384,67676	NZ_QBUK01000007.1,37444,88541,UniRef50_A0A140GR79,65384,67676
NZ_QBUK01000007.1,37444,88541,UniRef50_A0A140GR79,65384,67676	ENA|QBUK01000007|QBUK01000007.1,12971,129284,UniRef50_A0A140GR79,65384,67676
ERZ989743.33850,1148,39651,UniRef50_A0A140GR79,7351,9379	ERZ989743.33850,1148,39651,UniRef50_A0A140GR79,7351,9379
NZ_CP014335.1,299147,384805,UniRef50_A0A0D8BYB2,308248,311083	NZ_CP014335.1,299147,384805,UniRef50_A0A0D8BYB2,308248,311083
NZ_CP014335.1,299147,384805,UniRef50_A0A0D8BYB2,308248,311083	NZ_CP014335.1,273217,409827,UniRef50_A0A0D8BYB2,308248,311083
ERZ919355.13240,8521,58865,UniRef50_R6QHH1,12835,16801	ERZ919355.13240,8521,58865,UniRef50_R6QHH1,12835,16801
